Line	Spkr	StTime	Content	EnTime
411	LES_se0_ag2_f_01	409.3567	uh, tar heroin, and crack.	410.8167
412	LES_se0_ag2_f_01	410.8167	(pause 1.14)	411.9565
413	LES_se0_ag2_f_01	411.9565	[But.]	412.3297
414	LES_int_01	412.1321	[So this] was at the end of th- the [eighties?]	413.9892
415	LES_se0_ag2_f_01	413.7258	[He's] around the right time.	414.8673
416	LES_se0_ag2_f_01	415.1175	Right.	415.3765
417	LES_se0_ag2_f_01	415.3765	(pause 0.60)	415.9762
418	LES_se0_ag2_f_01	415.9762	But, he [uh.]	417.0079
419	LES_int_01	416.8383	[That's so-] that's so brutal.	418.0764
420	LES_se0_ag2_f_01	418.0764	Me and him, I haven't talked to him, it's funny cause I haven't talked to him for six years.	421.0310
421	LES_int_01	421.1041	Wow.	421.5388
422	LES_se0_ag2_f_01	421.9163	And I just started talking to him.	423.2422
423	LES_se0_ag2_f_01	423.2422	(pause 0.61)	423.8525
424	LES_se0_ag2_f_01	423.8525	[Um.]	424.1035
425	LES_int_01	423.8525	[You] did?	424.4583
426	LES_se0_ag2_f_01	424.6427	Yeah, about like four-	425.8281
427	LES_se0_ag2_f_01	425.8281	(pause 0.11)	425.9422
428	LES_se0_ag2_f_01	425.9422	four months ago.	426.5876
429	LES_int_01	427.4089	What made you decide that you wanted to do that?	429.2880
430	LES_se0_ag2_f_01	430.1265	It's funny, /RD-NAME-3/	431.3218
431	LES_se0_ag2_f_01	431.3218	(pause 0.23)	431.5545
432	LES_se0_ag2_f_01	431.5545	we- we'r- we're doing, um.	432.9725
433	LES_se0_ag2_f_01	432.9725	(pause 1.00)	433.9735
434	LES_se0_ag2_f_01	433.9735	<ts> We're taking classes, uh,	435.5227
435	LES_se0_ag2_f_01	435.5227	(pause 0.68)	436.2076
436	LES_se0_ag2_f_01	436.2076	where we're tryna	436.9627
437	LES_se0_ag2_f_01	436.9627	(pause 0.65)	437.6174
438	LES_se0_ag2_f_01	437.6174	uh,	438.0652
439	LES_se0_ag2_f_01	438.0652	(pause 0.19)	438.2584
440	LES_se0_ag2_f_01	438.2584	combine martia- like	439.4559
441	LES_se0_ag2_f_01	439.4559	(pause 0.20)	439.6534
442	LES_se0_ag2_f_01	439.6534	um.	440.3207
443	LES_se0_ag2_f_01	440.3207	(pause 1.34)	441.6598
444	LES_se0_ag2_f_01	441.6598	The martial arts trainings	443.0421
445	LES_int_01	443.1651	Yeah.	443.4197
446	LES_se0_ag2_f_01	443.7753	with um, community organizing.	445.5007
447	LES_se0_ag2_f_01	445.5007	(pause 0.24)	445.7422
448	LES_se0_ag2_f_01	445.7422	[The aspects] of it.	446.6641
449	LES_int_01	445.7422	[Oh.]	446.0802
450	LES_int_01	447.0637	Huh.	447.3622
451	LES_se0_ag2_f_01	447.3622	And	448.0057
452	LES_se0_ag2_f_01	448.3130	One of the things that we're doing is [um.]	449.9656
453	LES_int_01	449.6001	[That's cool.]	450.1972
454	LES_se0_ag2_f_01	450.2807	Yeah, /RD-NAME-3/ has us in this.	451.4572
455	LES_int_01	451.8436	[Yeah.]	452.1465
456	LES_se0_ag2_f_01	451.9928	[And] uh.	452.6470
457	LES_se0_ag2_f_01	452.7611	Uh. [Wha- you-]	453.3714
458	LES_int_01	453.0201	[Are you actually] learning	453.9860
459	LES_int_01	454.0826	martial arts?	454.6802
460	LES_se0_ag2_f_01	454.5659	Yeah.	454.8161
461	LES_se0_ag2_f_01	454.9522	We're learning how to use that though	456.6688
462	LES_int_01	456.9059	[That's cool.]	457.4503
463	LES_se0_ag2_f_01	456.9937	[to center] ourselves in our work.	458.5654
464	LES_int_01	459.0073	[Wow.]	459.5737
465	LES_se0_ag2_f_01	459.2488	[And whatever] we're learning	460.5703
466	LES_se0_ag2_f_01	461.0883	it's actually spilling into our personal lives. [And that's-]	463.7225
467	LES_int_01	463.2714	[Yeah.]	463.7225
468	LES_se0_ag2_f_01	463.8191	that's one of the corollaries of it.	465.2031
469	LES_int_01	465.6070	[Wow.]	466.3402
470	LES_se0_ag2_f_01	465.7475	[I am]	466.5641
471	LES_se0_ag2_f_01	466.8582	<ts>	466.9680
472	LES_se0_ag2_f_01	466.9680	(pause 0.10)	467.0674
473	LES_se0_ag2_f_01	467.0674	I am	467.6777
474	LES_se0_ag2_f_01	467.6777	(pause 0.26)	467.9367
475	LES_se0_ag2_f_01	467.9367	talking to my father now, because	469.2406
476	LES_se0_ag2_f_01	469.2406	(pause 0.29)	469.5348
477	LES_se0_ag2_f_01	469.5348	I'm thinking more about my energy	470.9309
478	LES_se0_ag2_f_01	470.9309	(pause 0.36)	471.2909
479	LES_se0_ag2_f_01	471.2909	and how it's used.	472.3270
480	LES_int_01	472.4499	Right.	472.8846
481	LES_se0_ag2_f_01	472.9796	And there was way more negative energy used to-	475.5699
482	LES_se0_ag2_f_01	475.5699	(pause 0.14)	475.7148
483	LES_se0_ag2_f_01	475.7148	to- to hate him	476.7377
484	LES_int_01	477.0187	[Yeah.]	477.5016
485	LES_se0_ag2_f_01	477.1899	[than it] was to love him.	478.2173
486	LES_int_01	478.3885	Yeah.	478.8099
487	LES_se0_ag2_f_01	478.8670	So. It's like a less	480.0245
488	LES_se0_ag2_f_01	480.0245	(pause 0.39)	480.4153
489	LES_se0_ag2_f_01	480.4153	I even feel like less energy being	482.0836
490	LES_se0_ag2_f_01	482.0836	(pause 0.30)	482.3865
491	LES_se0_ag2_f_01	482.3865	used	483.0099
492	LES_int_01	483.1504	Yeah.	483.6685
493	LES_se0_ag2_f_01	483.7036	with um	484.2875
494	LES_se0_ag2_f_01	484.2875	(pause 0.79)	485.0762
495	LES_se0_ag2_f_01	485.0762	[less hate]	485.5432
496	LES_int_01	485.0762	[Like just] sort of letting it-	486.1754
497	LES_int_01	486.3993	it out.	486.7769
498	LES_se0_ag2_f_01	486.7769	Letting it go. [And I mean, I've]	488.0150
499	LES_int_01	487.4398	[Yeah.]	488.0150
500	LES_se0_ag2_f_01	488.1599	w- I have this understanding with everybody else.	489.9248
501	LES_se0_ag2_f_01	489.9248	(pause 0.30)	490.2233
502	LES_se0_ag2_f_01	490.2233	I'm so aware of all of these socioeconomic conditions	492.6145
503	LES_se0_ag2_f_01	492.6145	(pause 0.33)	492.9481
504	LES_se0_ag2_f_01	492.9481	but when it's right in front,	494.2872
505	LES_se0_ag2_f_01	494.2872	(pause 0.72)	495.0072
506	LES_se0_ag2_f_01	495.0072	you know, of me and it's- it's directly affecting me, I've 	498.0123
507	LES_se0_ag2_f_01	498.0123	(pause 0.49)	498.4996
508	LES_se0_ag2_f_01	498.4996	I was like not consistent with that.	500.1937
509	LES_se0_ag2_f_01	500.1937	(pause 0.14)	500.3386
510	LES_se0_ag2_f_01	500.3386	Like, I was [not consistent] with that in my life, so.	503.0650
511	LES_int_01	500.8962	[Yeah.]	501.3264
512	LES_se0_ag2_f_01	503.5219	That's when I start talking with him [again.]	504.8697
513	LES_int_01	504.6886	[Yeah. Yeah.]	505.8663
514	LES_se0_ag2_f_01	505.5063	[And.]	505.8488
515	LES_int_01	505.9805	Where- where is he? is he still in the city?	507.5429
516	LES_se0_ag2_f_01	507.2663	[He's still] in the neighborhood.	508.2497
517	LES_se0_ag2_f_01	508.4253	He's still in the neighborhood to his will.	509.7512
518	LES_int_01	509.8741	Wow.	510.3834
519	LES_se0_ag2_f_01	510.4844	And uh, it's funny because the way we found him. I found him in nineteen ninety	514.1426
520	LES_se0_ag2_f_01	514.1426	(pause 0.51)	514.6562
521	LES_se0_ag2_f_01	514.6562	like, we got s- we started talking back in nineteen ninety-seven.	517.1411
522	LES_int_01	517.4093	Yeah.	517.7342
523	LES_se0_ag2_f_01	518.3576	Right before I went to college.	519.5913
524	LES_int_01	519.6966	Yeah.	520.1049
525	LES_se0_ag2_f_01	520.6844	And he um.	521.6371
526	LES_se0_ag2_f_01	521.6371	(pause 0.08)	521.7205
527	LES_se0_ag2_f_01	521.7205	We found him because we lost my cat.	523.1239
528	LES_se0_ag2_f_01	523.1239	(pause 1.12)	524.2478
529	LES_se0_ag2_f_01	524.2478	And it was [my senior year of high school.]	526.2454
530	LES_int_01	525.2532	[Boy George.]	526.1796
531	LES_se0_ag2_f_01	526.4737	Yep. Boy George.	527.2782
532	LES_int_01	527.2782	<laugh>	527.5943
533	LES_se0_ag2_f_01	527.5943	We lost Boy [George.]	528.7007
534	LES_int_01	528.5470	[No.	528.9904
535	LES_se0_ag2_f_01	529.2099	My senior year in high school,	530.6615
536	LES_se0_ag2_f_01	530.6615	(pause 0.38)	531.0390
537	LES_se0_ag2_f_01	531.0390	and I'm worried about my cat. I got midterms and everything, and my cat is missing, and I'm going crazy.	535.4946
538	LES_int_01	535.5385	Yeah.	535.9863
539	LES_se0_ag2_f_01	535.9863	And he- he was one of those cats, this is a city, he would go out.	539.1385
540	LES_se0_ag2_f_01	539.5604	He [would um.]	540.0345
541	LES_int_01	539.8018	[Did you] let him out?	540.6009
542	LES_se0_ag2_f_01	540.6931	Yeah, he would go out to the windows and	542.5985
543	LES_se0_ag2_f_01	542.5985	(pause 0.21)	542.8092
544	LES_se0_ag2_f_01	542.8092	He would do some crazy stuff, and sometimes go all throughout the building, but he would come back.	546.4911
545	LES_int_01	546.5306	[Yeah.]	546.9697
546	LES_se0_ag2_f_01	546.6228	[And he would] start crying and	547.9180
547	LES_se0_ag2_f_01	548.0541	back at the door, like he always came back.	550.1903
548	LES_int_01	550.2781	Yeah.	550.6557
549	LES_se0_ag2_f_01	550.6337	But somebody, uh, one of the dagone maintenance men took him.	552.7767
550	LES_int_01	552.9183	[<laugh> He did?]	554.4066
551	LES_se0_ag2_f_01	553.3167	[But we found-]	554.1124
552	LES_se0_ag2_f_01	554.1124	(pause 0.29)	554.4066
553	LES_se0_ag2_f_01	554.4066	Yeah. He took him.	555.1398
554	LES_int_01	555.3221	He did?	555.8928
555	LES_se0_ag2_f_01	555.8928	Maintenance man took him and put him in the basement.	557.4382
556	LES_se0_ag2_f_01	557.7631	Good for rats.	558.6324
557	LES_se0_ag2_f_01	558.6324	(pause 0.35)	558.9865
558	LES_se0_ag2_f_01	558.9865	[They took my] cat, and put him down there for rats. [My cat.]	561.9148
559	LES_int_01	558.9865	[What?]	559.8689
560	LES_int_01	559.8689	(pause 1.56)	561.4275
561	LES_int_01	561.4275	[No.] No.	562.8261
562	LES_se0_ag2_f_01	563.5304	But, um.	564.4436
563	LES_int_01	563.8754	[Come on.]	564.4505
564	LES_se0_ag2_f_01	564.7553	When we were in the court, when I was- my sister and I were door knocking.	567.7373
565	LES_se0_ag2_f_01	567.7373	(pause 0.13)	567.8691
566	LES_se0_ag2_f_01	567.8691	looking for [my cat.]	568.6549
567	LES_int_01	568.4047	[Oh.]	568.9798
568	LES_se0_ag2_f_01	569.1861	And that's how I found my father.	570.3496
569	LES_se0_ag2_f_01	570.3496	(pause 0.36)	570.7080
570	LES_se0_ag2_f_01	570.7080	Like [acro-]	571.2700
571	LES_int_01	570.9715	[No.]	571.7310
572	LES_se0_ag2_f_01	571.7924	He lives right across the street from me.	573.5310
573	LES_se0_ag2_f_01	573.5310	(pause 0.47)	573.9964
574	LES_se0_ag2_f_01	573.9964	[I'm like]	574.3476
575	LES_int_01	574.1369	[He] just answered the door?	575.3925
576	LES_se0_ag2_f_01	575.5110	No, actually, when. It was like- It's like a	577.2452
577	LES_se0_ag2_f_01	577.2452	(pause 0.14)	577.3835
578	LES_se0_ag2_f_01	577.3835	it's like one of them houses where all the people	579.2406
579	LES_se0_ag2_f_01	579.2406	(pause 0.11)	579.3503
580	LES_se0_ag2_f_01	579.3503	do their drugs at and everything. [Like a little] crack spot.	581.4823
581	LES_int_01	580.6174	[Yeah.]	581.0345
582	LES_int_01	581.7633	Oh my [God.]	582.8214
583	LES_se0_ag2_f_01	582.4131	[And-] but we didn't know that. Anyway, we was knocking on the door.	585.0805
584	LES_se0_ag2_f_01	585.4669	And somebody said	586.2791
585	LES_se0_ag2_f_01	586.2791	(pause 0.11)	586.3844
586	LES_se0_ag2_f_01	586.3844	/RD-NAME-1/.	586.7313
587	LES_se0_ag2_f_01	586.7313	(pause 0.69)	587.4190
588	LES_se0_ag2_f_01	587.4190	I think those are your kids outside.	588.8547
589	LES_int_01	589.0039	Oh my [God.]	589.8995
590	LES_se0_ag2_f_01	589.7722	[And] my sister and I looked at each other	591.1859
591	LES_se0_ag2_f_01	591.4186	we was like	592.0903
592	LES_se0_ag2_f_01	592.0903	(pause 0.61)	592.6990
593	LES_se0_ag2_f_01	592.6990	daddy (whispering)	593.1512
594	LES_se0_ag2_f_01	593.1512	(pause 0.64)	593.7878
595	LES_se0_ag2_f_01	593.7878	daddy?	594.2576
596	LES_se0_ag2_f_01	594.2576	(pause 1.01)	595.2673
597	LES_se0_ag2_f_01	595.2673	And we [found-]	596.1586
598	LES_int_01	595.7064	[You were like] holy [shit. <laugh>]	598.9848
599	LES_se0_ag2_f_01	596.6486	[Holy shit. Like, wow. This is dad's house?]	599.4260
600	LES_se0_ag2_f_01	599.8299	And we just stood there still.	601.0905
601	LES_se0_ag2_f_01	601.0905	(pause 0.09)	601.1783
602	LES_se0_ag2_f_01	601.1783	And then it was- was sure enough, it was him.	602.5086
603	LES_se0_ag2_f_01	602.5086	(pause 0.15)	602.6622
604	LES_se0_ag2_f_01	602.6622	So, we found him again.	603.9003
605	LES_se0_ag2_f_01	603.9003	(pause 0.43)	604.3318
606	LES_se0_ag2_f_01	604.3318	And it was like, oh, you live right across the street?	606.2460
607	LES_se0_ag2_f_01	606.2460	(pause 0.13)	606.3733
608	LES_se0_ag2_f_01	606.3733	What?	606.9704
609	LES_int_01	607.5324	That's crazy.	608.4368
610	LES_se0_ag2_f_01	608.4368	That's how we started.	609.3484
611	LES_se0_ag2_f_01	609.7743	So he still lives in the neighborhood.	611.1704
612	LES_se0_ag2_f_01	611.1704	(pause 0.50)	611.6665
613	LES_se0_ag2_f_01	611.6665	And um.	612.4348
614	LES_se0_ag2_f_01	612.4348	(pause 0.76)	613.1954
615	LES_se0_ag2_f_01	613.1954	<ts> But- and lives right across the street from my mom.	614.9120
616	LES_se0_ag2_f_01	614.9120	(pause 0.40)	615.3115
617	LES_se0_ag2_f_01	615.3115	Like literally. Th- well, now she moved further	617.7152
618	LES_se0_ag2_f_01	617.7152	(pause 0.31)	618.0269
619	LES_se0_ag2_f_01	618.0269	she moved to another smaller apartment	619.3791
620	LES_se0_ag2_f_01	619.3791	(pause 0.24)	619.6206
621	LES_se0_ag2_f_01	619.6206	[So they] live in the same development.	620.9217
622	LES_int_01	619.6206	[Yeah.]	619.9722
623	LES_se0_ag2_f_01	621.1281	They live literally in the same	622.6471
624	LES_se0_ag2_f_01	622.6471	(pause 0.49)	623.1388
625	LES_se0_ag2_f_01	623.1388	[development.]	623.6525
626	LES_int_01	623.1388	[Is this-] do you live in Brooch?	624.5946
627	LES_se0_ag2_f_01	624.9344	No, I live in /RD-ADDRESS-2/	626.4955
628	LES_se0_ag2_f_01	626.4955	(pause 0.30)	626.7913
629	LES_se0_ag2_f_01	626.7913	[I'm from /RD-ADDRESS-2/	627.5860
630	LES_int_01	626.9362	[Oh. /RD-ADDRESS-2] Okay. I knew you- you- d- okay. I think /RD-NAME-8/ [from like- yeah.] I was like /RD-NAME-2/'s from /RD-ADDRESS-3/. Right.]	633.6528
631	LES_se0_ag2_f_01	630.9813	[It was from /RD-ADDRESS-2/.]	632.0391
632	LES_se0_ag2_f_01	632.0391	(pause 1.34)	633.3781
633	LES_se0_ag2_f_01	633.3781	[Yeah.]	633.9050
634	LES_int_01	633.9821	[But, I-] I forgot, I thought it was [pretty chill.]	635.8748
635	LES_se0_ag2_f_01	633.9842	[He's from /RD-ADDRESS-2/]	634.6553
636	LES_se0_ag2_f_01	636.0153	Yeah.	636.4017
637	LES_int_01	636.4017	<ts> Okay.	636.8970
638	LES_int_01	636.8970	(pause 0.31)	637.2048
639	LES_int_01	637.2048	So, is that where you still live?	638.1373
640	LES_se0_ag2_f_01	638.4637	He still lives there.	639.3683
641	LES_se0_ag2_f_01	639.3683	(pause 0.39)	639.7600
642	LES_se0_ag2_f_01	639.7600	And, uh, yeah. My mother still lives there. My mother is	642.7163
643	LES_se0_ag2_f_01	642.7163	(pause 0.40)	643.1173
644	LES_se0_ag2_f_01	643.1173	He- my father's not doing anything with himself right now.	644.9356
645	LES_int_01	645.0242	Yeah.	645.2853
646	LES_se0_ag2_f_01	645.2853	He actually volunteered yesterday for the elections.	647.6401
647	LES_se0_ag2_f_01	647.8917	Yup, you know, I got him to help them.	649.5656
648	LES_int_01	649.8035	That's [cool.]	650.4333
649	LES_se0_ag2_f_01	650.0972	[Well,] he could not volunteer. He got money. He got money to [do it. But.]	652.7668
650	LES_int_01	652.5197	[Yeah,] yeah.	653.1259
651	LES_int_01	653.2098	[But, you got] him involved.	654.4734
652	LES_se0_ag2_f_01	653.2331	[You know.]	653.7087
653	LES_se0_ag2_f_01	654.6276	<ts> I got him involved, he got to see a little of what I do.	657.2109
654	LES_int_01	657.3834	Yeah.	657.6865
655	LES_se0_ag2_f_01	657.8451	And uh.	658.6657
656	LES_se0_ag2_f_01	658.6657	(pause 2.91)	661.5754
657	LES_se0_ag2_f_01	661.5754	My mother, she's	662.7831
658	LES_se0_ag2_f_01	662.7831	(pause 0.15)	662.9323
659	LES_se0_ag2_f_01	662.9323	she's uh, a social worker.	664.5457
660	LES_se0_ag2_f_01	664.5457	(pause 0.42)	664.9700
661	LES_se0_ag2_f_01	664.9700	In d- in um, the Lower East Side.	666.6127
662	LES_int_01	666.6593	Very cool.	667.2375
663	LES_se0_ag2_f_01	667.2375	She's been a social worker for o- she could t- she's	669.7504
664	LES_se0_ag2_f_01	670.2447	I don't know. She's close to retiring.	671.4223
665	LES_se0_ag2_f_01	671.4223	(pause 0.37)	671.7953
666	LES_se0_ag2_f_01	671.7953	[She's her-] close to hitting that thirty year mark point.	673.8796
667	LES_int_01	671.7953	[Yeah.]	672.1073
668	LES_int_01	674.0428	Yeah.	674.3991
669	LES_se0_ag2_f_01	674.7022	[So,] she's um.	676.0685
670	LES_int_01	674.7022	[Yeah.]	675.1453
671	LES_se0_ag2_f_01	676.4042	She's been helping with parents at a head start program.	678.4513
672	LES_se0_ag2_f_01	678.4513	(pause 0.38)	678.8336
673	LES_se0_ag2_f_01	678.8336	[On the Lower East Side.]	679.8981
674	LES_int_01	678.8336	[Oh, that's cool.]	679.7163
675	LES_int_01	680.1266	That's great.	680.7514
676	LES_se0_ag2_f_01	680.8447	So, she's still here and she works in the neighborhood.	682.8809
677	LES_int_01	682.8809	Yeah.	683.2586
678	LES_se0_ag2_f_01	683.2586	And I'm here, and I work in the [neighborhood.]	684.8303
679	LES_int_01	684.5875	[Yeah.] Yeah.	685.3056
680	LES_int_01	685.6381	Do you still live with her? Or do you live on your [own?]	687.2235
681	LES_se0_ag2_f_01	687.1116	[I] live on my own. I'm living with- I live, um.	689.2239
682	LES_se0_ag2_f_01	689.5469	On /RD-ADDRESS-4/.	690.4608
683	LES_int_01	690.6800	Uh-huh.	691.0064
684	LES_se0_ag2_f_01	691.3514	Now.	691.6871
685	LES_int_01	692.1068	Yeah.	692.3306
686	LES_se0_ag2_f_01	692.3819	And I used to live with my sister, but she just moved out.	694.3357
687	LES_int_01	694.5677	U- Oh.	695.5515
688	LES_se0_ag2_f_01	695.9246	And uh.	696.8805
689	LES_int_01	697.3607	So, you live by yourself?	698.2793
690	LES_se0_ag2_f_01	698.4845	Yeah.	698.8342
691	LES_int_01	698.9928	How's that?	699.4637
692	LES_se0_ag2_f_01	699.9953	Uh, it's good.	700.8288
693	LES_se0_ag2_f_01	700.8288	(pause 0.12)	700.9500
694	LES_se0_ag2_f_01	700.9500	[I mean.]	701.5562
695	LES_int_01	700.9500	[Yeah.]	701.4396
696	LES_int_01	701.7008	It's probably kind of cool right?	702.7639
697	LES_se0_ag2_f_01	702.8478	Yeah. It's cool.	703.5846
698	LES_se0_ag2_f_01	703.5846	(pause 0.21)	703.7991
699	LES_se0_ag2_f_01	703.7991	[Cause, you know.]	704.2514
700	LES_int_01	703.9016	[Like,] when you leave in the morning, and then you come back, and like	706.5035
701	LES_int_01	706.6559	everything's	707.2761
702	LES_se0_ag2_f_01	707.3880	Back where you left it.	708.2243
703	LES_int_01	708.2253	Exactly [where you left it.]	709.4458
704	LES_se0_ag2_f_01	708.6580	[But that's-] that's what's making me- it's making you more account- like I'll	711.4919
705	LES_se0_ag2_f_01	712.0607	now I can't blame things on my sister, [like oh.]	714.0224
706	LES_int_01	713.4668	[<laugh> Right. (laughing) <laugh> Right.]	714.9236
707	LES_se0_ag2_f_01	714.5120	[She didn't] throw out the garbage? [It's all me.]	716.8295
708	LES_int_01	715.9960	[You're like-]	716.4810
709	LES_int_01	716.8621	you're like, nope.	717.5093
710	LES_int_01	717.5093	(pause 0.11)	717.6206
711	LES_int_01	717.6206	That was my [fault. <laugh>] 	719.3132
712	LES_se0_ag2_f_01	718.0542	[It's all me.]	718.5485
713	LES_se0_ag2_f_01	718.5485	(pause 0.76)	719.3132
714	LES_se0_ag2_f_01	719.3132	I can't even like, yeah. So.	720.7626
715	LES_int_01	720.7626	<laugh>	721.3781
716	LES_se0_ag2_f_01	721.3781	It's putting me- [It's putting things] into perspective. Like ah shit man. I gotta-	724.8078
717	LES_int_01	722.3504	[That's funny.]	723.0601
718	LES_se0_ag2_f_01	725.1015	when people come over, I gotta make sure my	726.8445
719	LES_se0_ag2_f_01	726.8445	(pause 1.02)	727.8657
720	LES_se0_ag2_f_01	727.8657	 My [stuff is] on point.	728.8692
721	LES_int_01	728.0523	[Right.]	728.4207
722	LES_int_01	728.8697	Right.	729.2833
723	LES_int_01	729.2833	(pause 0.12)	729.4046
724	LES_int_01	729.4046	[That's pretty funny.]	730.3278
725	LES_se0_ag2_f_01	729.4652	[But.]	729.9501
726	LES_se0_ag2_f_01	730.4211	Yeah, that's about it actually.	731.5497
727	LES_se0_ag2_f_01	731.5497	(pause 0.24)	731.7922
728	LES_se0_ag2_f_01	731.7922	It's cool living without.	732.6688
729	LES_int_01	732.7994	Tell me like, um.	734.1052
730	LES_int_01	734.1052	(pause 0.11)	734.2169
731	LES_int_01	734.2169	<ts>	734.3101
732	LES_int_01	734.3101	(pause 0.19)	734.5013
733	LES_int_01	734.5013	What you remember about being a kid	736.2312
734	LES_int_01	736.2312	(pause 0.50)	736.7302
735	LES_int_01	736.7302	growing up.	737.1638
736	LES_se0_ag2_f_01	738.0078	I've g- I- You know, it's so funny. It's- this is a memory that's good. It's so funny that you just said this.	742.4457
737	LES_int_01	742.5716	Yeah.	742.8048
738	LES_se0_ag2_f_01	742.9074	This is a memory	743.7980
739	LES_se0_ag2_f_01	743.7980	(pause 0.35)	744.1512
740	LES_se0_ag2_f_01	744.1512	that's good and bad in itself.	745.5361
741	LES_int_01	745.6293	Okay.	746.0723
742	LES_se0_ag2_f_01	746.5806	When we were little, we played this game called colors.	748.7815
743	LES_int_01	749.1452	Okay, what is it?	749.9472
744	LES_se0_ag2_f_01	750.1943	Kay.	750.4601
745	LES_se0_ag2_f_01	750.4601	(pause 0.21)	750.6746
746	LES_se0_ag2_f_01	750.6746	Before you left a- if we was living toge- if we was friends [and we was] growing up [together,]	754.5341
747	LES_int_01	753.3078	[Yeah.]	753.5782
748	LES_int_01	753.5782	(pause 0.84)	754.4175
749	LES_int_01	754.4175	[Yeah.]	754.7999
750	LES_se0_ag2_f_01	754.9724	Before we left this house, we had to pick a color.	756.5719
751	LES_se0_ag2_f_01	756.5719	(pause 0.14)	756.7118
752	LES_se0_ag2_f_01	756.7118	What's your color? Purple?	757.6257
753	LES_int_01	759.2854	Sure.	759.6538
754	LES_se0_ag2_f_01	759.7284	Alright. I'm red.	760.5444
755	LES_int_01	760.6610	Okay.	761.1552
756	LES_se0_ag2_f_01	761.5763	We'd walk out,	762.2758
757	LES_se0_ag2_f_01	762.2758	(pause 0.43)	762.7094
758	LES_se0_ag2_f_01	762.7094	and we'd count	763.4648
759	LES_se0_ag2_f_01	763.4648	(pause 0.11)	763.5720
760	LES_se0_ag2_f_01	763.5720	how many crack vials we see with that color [top.]	765.7017
761	LES_int_01	765.2870	[<laugh>]	765.7017
762	LES_int_01	765.9725	No. (laughing)	766.4947
763	LES_se0_ag2_f_01	767.6041	Okay.	768.1311
764	LES_se0_ag2_f_01	768.1311	(pause 0.29)	768.4202
765	LES_se0_ag2_f_01	768.4202	[So, if you had]	769.4227
766	LES_int_01	768.7381	[Oh my God.]	769.8385
767	LES_se0_ag2_f_01	769.5856	[so, we would] get ready to go to this post [office]	771.7445
768	LES_int_01	771.5860	[Yeah.]	772.0057
769	LES_se0_ag2_f_01	772.7844	By the time we got to the post office and back,	775.0089
770	LES_se0_ag2_f_01	775.0089	(pause 0.87)	775.8762
771	LES_se0_ag2_f_01	775.8762	you was letting me know every time you saw	777.4569
772	LES_se0_ag2_f_01	777.4569	(pause 0.29)	777.7460
773	LES_se0_ag2_f_01	777.7460	a purple one.	778.3804
774	LES_int_01	778.3804	Yeah.	778.7535
775	LES_se0_ag2_f_01	778.7535	And I was letting you know every time I saw a red one. And we got points.	781.8030
776	LES_se0_ag2_f_01	782.2367	And upon the end of the day,	783.6934
777	LES_se0_ag2_f_01	783.6934	(pause 0.90)	784.5925
778	LES_se0_ag2_f_01	784.5925	we always would forget sometimes or whatever.	786.4017
779	LES_se0_ag2_f_01	786.4017	(pause 0.09)	786.4950
780	LES_se0_ag2_f_01	786.4950	But,	786.9147
781	LES_se0_ag2_f_01	786.9147	(pause 0.60)	787.5115
782	LES_se0_ag2_f_01	787.5115	either way,	788.1923
783	LES_se0_ag2_f_01	788.1923	(pause 0.26)	788.4534
784	LES_se0_ag2_f_01	788.4534	that's how much drugs was in this neighborhood.	789.9668
785	LES_int_01	789.9702	Shit.	790.4916
786	LES_se0_ag2_f_01	790.4521	Where	790.9697
787	LES_se0_ag2_f_01	791.2681	there were crack vials	792.0981
788	LES_se0_ag2_f_01	792.0981	(pause 0.20)	792.2939
789	LES_se0_ag2_f_01	792.2939	everywhere.	792.8955
790	LES_se0_ag2_f_01	792.8955	(pause 0.13)	793.0260
791	LES_se0_ag2_f_01	793.0260	Drug needles.	793.8980
792	LES_se0_ag2_f_01	793.8980	(pause 0.24)	794.1404
793	LES_se0_ag2_f_01	794.1404	That was- that was a common thing in grass, so you didn't play in grass.	797.3052
794	LES_se0_ag2_f_01	797.3052	(pause 0.32)	797.6223
795	LES_se0_ag2_f_01	797.6223	[You kept off grass]	798.5408
796	LES_int_01	797.7668	[Yeah.]	798.1585
797	LES_se0_ag2_f_01	798.7926	cause it's a place where dogs	799.9469
798	LES_se0_ag2_f_01	799.9469	(pause 0.36)	800.3106
799	LES_se0_ag2_f_01	800.3106	t- crapped at	800.9914
800	LES_int_01	801.0241	Yeah.	801.5603
801	LES_se0_ag2_f_01	801.8587	you had drug needles in it,	803.0781
802	LES_int_01	803.2739	Yeah.	803.6143
803	LES_se0_ag2_f_01	803.6143	and-	803.8661
804	LES_se0_ag2_f_01	804.2904	and crack vials. They looked like little perfume-	806.4167
805	LES_se0_ag2_f_01	806.4167	(pause 0.45)	806.8644
806	LES_se0_ag2_f_01	806.8644	[it looks like little perfume crack vials.]	808.2770
807	LES_int_01	806.8644	[Yeah. Yeah. Yeah. Yeah.] And were there all different [colors?]	809.9044
808	LES_se0_ag2_f_01	809.6945	[All] in different colors.	810.6131
809	LES_se0_ag2_f_01	810.8882	So, every w- depending what color you pick, I w- my color was always purple. I gave you purple today.	814.5799
810	LES_int_01	814.6358	Oh. Thanks.	815.3840
811	LES_int_01	815.3840	(pause 0.34)	815.7270
812	LES_int_01	815.7270	Was it a good color?	816.4357
